timestamp,messageType,latency,statusCode,roomId
1773008192601,TEXT,118,400,8
1773008192602,TEXT,119,400,9
1773008192602,TEXT,119,400,2
1773008192602,TEXT,119,400,20
1773008192602,TEXT,118,400,18
1773008192602,TEXT,116,400,17
1773008192602,TEXT,118,400,6
1773008192603,TEXT,118,400,13
1773008192603,TEXT,118,400,15
1773008192603,TEXT,119,400,4
1773008192604,TEXT,119,400,1
1773008192604,TEXT,119,400,12
1773008192604,TEXT,118,400,7
1773008192663,TEXT,63,400,19
1773008192663,TEXT,63,400,10
1773008192665,TEXT,64,400,5
1773008192665,TEXT,64,400,14
1773008192667,TEXT,66,400,16
1773008192672,TEXT,71,400,3
1773008192672,TEXT,70,400,8
1773008192672,TEXT,70,400,9
1773008192672,TEXT,71,400,11
1773008192672,TEXT,70,400,20
1773008192673,TEXT,70,400,2
1773008192673,TEXT,70,400,4
1773008192673,TEXT,71,400,18
1773008192673,TEXT,69,400,1
1773008192673,TEXT,70,400,13
1773008192673,TEXT,70,400,15
1773008192673,TEXT,70,400,17
1773008192673,TEXT,71,400,6
1773008192673,TEXT,69,400,12
1773008192673,TEXT,69,400,7
1773008192727,TEXT,64,400,10
1773008192727,TEXT,64,400,19
1773008192734,TEXT,66,400,16
1773008192734,TEXT,68,400,14
1773008192734,TEXT,68,400,5
1773008192759,TEXT,86,400,4
1773008192759,TEXT,87,400,8
1773008192761,TEXT,88,400,9
1773008192761,TEXT,87,400,2
1773008192761,TEXT,89,400,11
1773008192761,TEXT,88,400,1
1773008192761,TEXT,89,400,3
1773008192761,TEXT,88,400,20
1773008192761,TEXT,88,400,18
1773008192761,TEXT,88,400,17
1773008192761,TEXT,88,400,13
1773008192761,TEXT,88,400,12
1773008192761,TEXT,88,400,15
1773008192761,TEXT,88,400,6
1773008192761,TEXT,88,400,7
1773008192791,TEXT,64,400,19
1773008192791,TEXT,64,400,10
1773008192798,TEXT,64,400,5
1773008192798,TEXT,64,400,14
1773008192799,TEXT,65,400,16
1773008192825,TEXT,66,400,4
1773008192825,TEXT,66,400,8
1773008192827,TEXT,66,400,17
1773008192827,TEXT,65,400,15
1773008192827,TEXT,66,400,9
1773008192827,TEXT,66,400,13
1773008192827,TEXT,66,400,2
1773008192827,TEXT,66,400,20
1773008192827,TEXT,66,400,1
1773008192827,TEXT,66,400,11
1773008192827,TEXT,65,400,6
1773008192827,TEXT,66,400,12
1773008192827,TEXT,66,400,18
1773008192827,TEXT,66,400,3
1773008192827,TEXT,65,400,7
1773008192856,TEXT,65,400,10
1773008192856,TEXT,65,400,19
1773008192861,TEXT,63,400,5
1773008192861,TEXT,63,400,14
1773008192863,TEXT,64,400,16
1773008192889,TEXT,64,400,4
1773008192890,TEXT,65,400,8
